채널,상품,주차,매출,수량
11번가,올리브오일,5주차,19950.0,1.0
11번가,코엔자임Q10,5주차,11970.0,3.0
11번가,코엔자임Q10,5주차,11970.0,1.0
11번가,코엔자임Q10,5주차,19950.0,1.0
11번가,코엔자임Q10,5주차,23940.0,1.0
11번가,혈당컷,5주차,19950.0,1.0
지마켓,오메가3,5주차,35850.0,3.0
지마켓,오메가3,5주차,19900.0,1.0
지마켓,루테인,5주차,7980.0,2.0
지마켓,루테인,5주차,11950.0,1.0
지마켓,밀크씨슬,5주차,11970.0,3.0
지마켓,MSM,5주차,19900.0,1.0
지마켓,올리브오일,5주차,7980.0,2.0
지마켓,올리브오일,5주차,99500.0,5.0
지마켓,올리브오일,5주차,47780.0,2.0
지마켓,멀티비타민,5주차,3990.0,1.0
지마켓,칼마디아K,5주차,11950.0,1.0
지마켓,코엔자임Q10,5주차,3990.0,1.0
지마켓,코엔자임Q10,5주차,39800.0,2.0
지마켓,코엔자임Q10,5주차,23890.0,1.0
지마켓,혈당컷,5주차,23900.0,2.0
지마켓,혈당컷,5주차,99500.0,5.0
지마켓,혈당컷,5주차,23890.0,1.0
옥션,오메가3,5주차,43890.0,11.0
옥션,오메가3,5주차,11950.0,1.0
옥션,오메가3,5주차,39800.0,2.0
옥션,오메가3,5주차,23890.0,1.0
옥션,밀크씨슬,5주차,3990.0,1.0
옥션,MSM,5주차,7980.0,2.0
옥션,MSM,5주차,19900.0,1.0
옥션,올리브오일,5주차,23940.0,6.0
옥션,코엔자임Q10,5주차,59700.0,3.0
옥션,마그네슘,5주차,11950.0,1.0
옥션,혈당컷,5주차,23890.0,1.0
네이버,루테인,5주차,25390.0,1.0
네이버,밀크씨슬,5주차,25390.0,1.0
네이버,세트/기획전,5주차,166530.0,8.0
네이버,세트/기획전,5주차,19900.0,1.0
네이버,MSM,5주차,11970.0,3.0
네이버,MSM,5주차,39800.0,2.0
네이버,오메가3,5주차,130670.0,33.0
네이버,오메가3,5주차,83290.0,7.0
네이버,오메가3,5주차,153820.0,9.0
네이버,오메가3,5주차,378240.0,17.0
네이버,세트/기획전,5주차,11950.0,1.0
네이버,세트/기획전,5주차,11950.0,1.0
네이버,루테인,5주차,3990.0,1.0
네이버,루테인,5주차,47440.0,4.0
네이버,루테인,5주차,99500.0,5.0
네이버,루테인,5주차,47780.0,2.0
네이버,멀티비타민,5주차,19950.0,5.0
네이버,멀티비타민,5주차,11950.0,1.0
네이버,멀티비타민,5주차,39800.0,2.0
네이버,밀크씨슬,5주차,19950.0,5.0
네이버,밀크씨슬,5주차,79600.0,4.0
네이버,밀크씨슬,5주차,69670.0,3.0
네이버,비타민C,5주차,11970.0,3.0
네이버,비타민C,5주차,23900.0,2.0
네이버,비타민C,5주차,19900.0,1.0
네이버,비타민C,5주차,23890.0,1.0
네이버,세트/기획전,5주차,23900.0,2.0
네이버,올리브오일,5주차,91770.0,23.0
네이버,올리브오일,5주차,47800.0,4.0
네이버,올리브오일,5주차,218900.0,11.0
네이버,올리브오일,5주차,421120.0,19.0
네이버,세트/기획전,5주차,11950.0,1.0
네이버,칼마디아K,5주차,3990.0,1.0
네이버,칼마디아K,5주차,35850.0,3.0
네이버,칼마디아K,5주차,99500.0,5.0
네이버,칼마디아K,5주차,23890.0,1.0
네이버,코엔자임Q10,5주차,35910.0,9.0
네이버,코엔자임Q10,5주차,11950.0,1.0
네이버,코엔자임Q10,5주차,98500.0,5.0
네이버,코엔자임Q10,5주차,118450.0,8.0
네이버,마그네슘,5주차,71020.0,19.0
네이버,마그네슘,5주차,59750.0,5.0
네이버,마그네슘,5주차,39800.0,2.0
네이버,마그네슘,5주차,227270.0,11.0
네이버,혈당컷,5주차,23940.0,6.0
네이버,혈당컷,5주차,23900.0,2.0
네이버,혈당컷,5주차,139300.0,7.0
네이버,혈당컷,5주차,93560.0,5.0
