채널,상품,주차,매출,수량
네이버,코엔자임Q10,1주차,231820.0,11.0
네이버,코엔자임Q10,2주차,323460.0,15.0
네이버,코엔자임Q10,3주차,211010.0,12.0
네이버,마그네슘,1주차,31720.0,8.0
네이버,마그네슘,2주차,91770.0,23.0
네이버,마그네슘,3주차,23940.0,6.0
네이버,마그네슘,1주차,11950.0,1.0
네이버,마그네슘,2주차,47800.0,4.0
네이버,마그네슘,3주차,35850.0,3.0
네이버,마그네슘,1주차,18230.0,1.0
네이버,마그네슘,2주차,139300.0,7.0
네이버,마그네슘,3주차,99500.0,6.0
네이버,마그네슘,1주차,186580.0,9.0
네이버,마그네슘,2주차,255890.0,11.0
네이버,마그네슘,3주차,307570.0,14.0
네이버,세트/기획전,1주차,11950.0,1.0
네이버,혈당컷,1주차,110320.0,30.0
네이버,혈당컷,2주차,106730.0,27.0
네이버,혈당컷,3주차,23940.0,6.0
네이버,혈당컷,1주차,82650.0,7.0
네이버,혈당컷,2주차,47800.0,4.0
네이버,혈당컷,3주차,47800.0,4.0
네이버,혈당컷,1주차,160420.0,9.0
네이버,혈당컷,2주차,358200.0,20.0
네이버,혈당컷,3주차,294520.0,15.0
네이버,혈당컷,1주차,337920.0,16.0
네이버,혈당컷,2주차,276900.0,15.0
네이버,혈당컷,3주차,258790.0,11.0
11번가,오메가3,2주차,27930.0,7.0
11번가,오메가3,2주차,59850.0,3.0
11번가,오메가3,1주차,95760.0,4.0
11번가,오메가3,2주차,47880.0,2.0
11번가,루테인,1주차,11970.0,1.0
11번가,루테인,2주차,11970.0,1.0
11번가,루테인,1주차,19950.0,5.0
11번가,루테인,2주차,3990.0,1.0
11번가,루테인,1주차,19950.0,1.0
11번가,루테인,2주차,23940.0,1.0
11번가,밀크씨슬,2주차,3990.0,1.0
11번가,밀크씨슬,2주차,11950.0,1.0
11번가,밀크씨슬,2주차,19900.0,1.0
11번가,밀크씨슬,3주차,19900.0,1.0
11번가,비타민C,1주차,3990.0,1.0
11번가,비타민C,2주차,3990.0,1.0
11번가,비타민C,1주차,19950.0,1.0
11번가,오메가3,1주차,35910.0,3.0
11번가,오메가3,2주차,23940.0,2.0
11번가,MSM,1주차,39900.0,10.0
11번가,MSM,1주차,11970.0,1.0
11번가,MSM,2주차,11970.0,1.0
11번가,MSM,1주차,19950.0,1.0
11번가,올리브오일,1주차,15960.0,4.0
11번가,올리브오일,2주차,59850.0,5.0
11번가,올리브오일,3주차,11970.0,1.0
11번가,올리브오일,1주차,99750.0,5.0
11번가,올리브오일,2주차,59850.0,3.0
11번가,올리브오일,3주차,39900.0,2.0
11번가,멀티비타민,2주차,7980.0,2.0
11번가,멀티비타민,2주차,35910.0,3.0
11번가,멀티비타민,2주차,23940.0,1.0
11번가,칼마디아K,1주차,3990.0,1.0
11번가,칼마디아K,1주차,23940.0,2.0
11번가,코엔자임Q10,1주차,23940.0,6.0
11번가,코엔자임Q10,1주차,23940.0,2.0
11번가,코엔자임Q10,2주차,23940.0,2.0
11번가,코엔자임Q10,1주차,119700.0,6.0
11번가,코엔자임Q10,2주차,19950.0,1.0
11번가,코엔자임Q10,3주차,19950.0,1.0
11번가,코엔자임Q10,1주차,23940.0,1.0
11번가,코엔자임Q10,3주차,23940.0,1.0
11번가,마그네슘,1주차,39900.0,2.0
11번가,마그네슘,2주차,59850.0,3.0
11번가,혈당컷,1주차,23940.0,6.0
11번가,혈당컷,2주차,3990.0,1.0
11번가,혈당컷,1주차,23940.0,2.0
11번가,혈당컷,2주차,35910.0,3.0
11번가,혈당컷,1주차,19950.0,1.0
11번가,혈당컷,2주차,179550.0,9.0
11번가,혈당컷,2주차,24940.0,1.0
11번가,혈당컷,3주차,24940.0,1.0
옥션,세트/기획전,1주차,19900.0,1.0
옥션,세트/기획전,3주차,39800.0,2.0
옥션,오메가3,1주차,7980.0,2.0
옥션,오메가3,3주차,31920.0,8.0
옥션,오메가3,2주차,11950.0,1.0
옥션,오메가3,1주차,119400.0,6.0
옥션,오메가3,2주차,79600.0,4.0
옥션,오메가3,1주차,23890.0,1.0
옥션,오메가3,2주차,23890.0,1.0
옥션,루테인,1주차,19950.0,5.0
옥션,루테인,2주차,11950.0,1.0
옥션,루테인,3주차,11950.0,1.0
옥션,루테인,1주차,39800.0,2.0
옥션,루테인,2주차,59700.0,3.0
옥션,루테인,3주차,39800.0,2.0
옥션,루테인,1주차,23890.0,1.0
옥션,밀크씨슬,1주차,7980.0,2.0
옥션,밀크씨슬,3주차,19950.0,5.0
옥션,MSM,1주차,15960.0,4.0
옥션,MSM,2주차,23940.0,6.0
옥션,MSM,2주차,23890.0,1.0
옥션,올리브오일,2주차,39800.0,2.0
옥션,올리브오일,3주차,19900.0,1.0
옥션,올리브오일,1주차,23890.0,1.0
옥션,멀티비타민,1주차,19950.0,5.0
옥션,멀티비타민,3주차,15960.0,4.0
