채널,상품,월,매출,수량
쿠팡,코엔자임Q10,2026-06,46790.0,2.0
쿠팡,오메가3,2026-06,63840.0,16.0
쿠팡,오메가3,2026-06,31920.0,4.0
쿠팡,오메가3,2026-06,83650.0,7.0
쿠팡,오메가3,2026-06,47820.0,3.0
쿠팡,오메가3,2026-06,1393000.0,70.0
쿠팡,오메가3,2026-06,4419650.0,185.0
쿠팡,루테인,2026-06,11950.0,1.0
쿠팡,루테인,2026-06,21400.0,1.0
쿠팡,루테인,2026-06,79600.0,4.0
쿠팡,루테인,2026-06,47780.0,2.0
쿠팡,멀티비타민,2026-06,15960.0,4.0
쿠팡,멀티비타민,2026-06,15960.0,2.0
쿠팡,멀티비타민,2026-06,79600.0,4.0
쿠팡,밀크씨슬,2026-06,15960.0,2.0
쿠팡,밀크씨슬,2026-06,19900.0,1.0
쿠팡,밀크씨슬,2026-06,47780.0,2.0
쿠팡,비타민C,2026-06,19900.0,1.0
쿠팡,세트/기획전,2026-06,11950.0,1.0
쿠팡,올리브오일,2026-06,31920.0,8.0
쿠팡,올리브오일,2026-06,95760.0,12.0
쿠팡,올리브오일,2026-06,95600.0,8.0
쿠팡,올리브오일,2026-06,31880.0,2.0
쿠팡,올리브오일,2026-06,64200.0,3.0
쿠팡,올리브오일,2026-06,1452700.0,73.0
쿠팡,올리브오일,2026-06,1743970.0,73.0
쿠팡,칼마디아K,2026-06,11970.0,3.0
쿠팡,칼마디아K,2026-06,23900.0,2.0
쿠팡,칼마디아K,2026-06,15940.0,1.0
쿠팡,칼마디아K,2026-06,47780.0,2.0
쿠팡,코엔자임Q10,2026-06,354460.0,25.0
쿠팡,MSM,2026-06,39800.0,2.0
쿠팡,MSM,2026-06,23890.0,1.0
쿠팡,마그네슘,2026-06,159250.0,8.0
쿠팡,혈당컷,2026-06,7980.0,2.0
쿠팡,혈당컷,2026-06,7980.0,1.0
쿠팡,혈당컷,2026-06,15940.0,1.0
쿠팡,혈당컷,2026-06,39800.0,2.0
쿠팡,혈당컷,2026-06,334460.0,14.0
GS SHOP,루테인,2026-06,205598.0,7.0
GS SHOP,세트/기획전,2026-06,949660.0,85.0
GS SHOP,코엔자임Q10,2026-06,842951.0,74.0
GS SHOP,코엔자임Q10,2026-06,607303.0,30.0
GS SHOP,코엔자임Q10,2026-06,677638.0,23.0
GS SHOP,MSM,2026-06,866463.0,42.0
GS SHOP,루테인,2026-06,641691.0,47.0
GS SHOP,멀티비타민,2026-06,745148.0,51.0
GS SHOP,밀크씨슬,2026-06,681669.0,47.0
GS SHOP,비타민C,2026-06,358364.0,24.0
GS SHOP,오메가3,2026-06,3762893.0,234.0
GS SHOP,올리브오일,2026-06,15853156.0,1444.0
GS SHOP,칼마디아K,2026-06,501623.0,33.0
GS SHOP,혈당컷,2026-06,3120409.0,176.0
GS SHOP,기타/PB,2026-06,28397.0,1.0
GS SHOP,기타/PB,2026-06,171549.0,6.0
GS SHOP,기타/PB,2026-06,60684.0,2.0
GS SHOP,기타/PB,2026-06,28397.0,1.0
GS SHOP,혈당컷,2026-06,49551.0,3.0
GS SHOP,혈당컷,2026-06,19829.0,1.0
GS SHOP,세트/기획전,2026-06,129390.0,11.0
11번가,오메가3,2026-06,111720.0,28.0
11번가,오메가3,2026-06,159600.0,8.0
11번가,오메가3,2026-06,311220.0,13.0
11번가,루테인,2026-06,11970.0,1.0
11번가,루테인,2026-06,19950.0,5.0
11번가,루테인,2026-06,47880.0,2.0
11번가,밀크씨슬,2026-06,59750.0,5.0
11번가,비타민C,2026-06,39900.0,10.0
11번가,비타민C,2026-06,11970.0,1.0
11번가,오메가3,2026-06,23940.0,2.0
11번가,MSM,2026-06,39900.0,10.0
11번가,MSM,2026-06,119700.0,6.0
11번가,올리브오일,2026-06,11970.0,3.0
11번가,올리브오일,2026-06,299250.0,25.0
11번가,올리브오일,2026-06,159600.0,8.0
11번가,올리브오일,2026-06,24940.0,1.0
11번가,멀티비타민,2026-06,35910.0,3.0
11번가,멀티비타민,2026-06,19950.0,1.0
11번가,멀티비타민,2026-06,47880.0,2.0
11번가,칼마디아K,2026-06,23940.0,6.0
11번가,칼마디아K,2026-06,35910.0,3.0
11번가,코엔자임Q10,2026-06,47880.0,12.0
11번가,코엔자임Q10,2026-06,47880.0,4.0
11번가,코엔자임Q10,2026-06,119700.0,6.0
11번가,코엔자임Q10,2026-06,95760.0,4.0
11번가,코엔자임Q10,2026-06,25440.0,1.0
11번가,마그네슘,2026-06,7980.0,2.0
11번가,마그네슘,2026-06,11970.0,1.0
11번가,마그네슘,2026-06,23940.0,1.0
11번가,혈당컷,2026-06,131670.0,33.0
11번가,혈당컷,2026-06,107730.0,9.0
11번가,혈당컷,2026-06,339150.0,17.0
지마켓,세트/기획전,2026-06,39800.0,2.0
지마켓,오메가3,2026-06,55860.0,14.0
지마켓,오메가3,2026-06,47800.0,4.0
지마켓,오메가3,2026-06,338300.0,17.0
지마켓,오메가3,2026-06,286680.0,12.0
지마켓,루테인,2026-06,3990.0,1.0
지마켓,루테인,2026-06,11950.0,1.0
지마켓,루테인,2026-06,79600.0,4.0
지마켓,밀크씨슬,2026-06,11950.0,1.0
지마켓,비타민C,2026-06,11970.0,3.0
지마켓,비타민C,2026-06,19900.0,1.0
지마켓,세트/기획전,2026-06,11950.0,1.0
지마켓,MSM,2026-06,11950.0,1.0
지마켓,MSM,2026-06,59700.0,3.0
지마켓,MSM,2026-06,23890.0,1.0
지마켓,올리브오일,2026-06,11950.0,1.0
지마켓,올리브오일,2026-06,21400.0,1.0
지마켓,올리브오일,2026-06,278600.0,14.0
지마켓,올리브오일,2026-06,95560.0,4.0
지마켓,멀티비타민,2026-06,3990.0,1.0
지마켓,멀티비타민,2026-06,11950.0,1.0
지마켓,멀티비타민,2026-06,39800.0,2.0
지마켓,칼마디아K,2026-06,3990.0,1.0
지마켓,칼마디아K,2026-06,47800.0,4.0
지마켓,칼마디아K,2026-06,39800.0,2.0
지마켓,코엔자임Q10,2026-06,3990.0,1.0
지마켓,코엔자임Q10,2026-06,23900.0,2.0
지마켓,코엔자임Q10,2026-06,79600.0,4.0
지마켓,마그네슘,2026-06,23900.0,2.0
지마켓,마그네슘,2026-06,19900.0,1.0
지마켓,혈당컷,2026-06,7980.0,2.0
지마켓,혈당컷,2026-06,107550.0,9.0
지마켓,혈당컷,2026-06,537300.0,27.0
지마켓,혈당컷,2026-06,143340.0,6.0
옥션,세트/기획전,2026-06,39800.0,2.0
옥션,오메가3,2026-06,67830.0,17.0
옥션,오메가3,2026-06,131450.0,11.0
옥션,오메가3,2026-06,577100.0,29.0
옥션,오메가3,2026-06,47780.0,2.0
옥션,루테인,2026-06,83790.0,21.0
옥션,루테인,2026-06,23900.0,2.0
옥션,루테인,2026-06,59700.0,3.0
옥션,밀크씨슬,2026-06,11970.0,3.0
옥션,밀크씨슬,2026-06,11950.0,1.0
옥션,비타민C,2026-06,3990.0,1.0
옥션,비타민C,2026-06,35850.0,3.0
옥션,비타민C,2026-06,19900.0,1.0
옥션,세트/기획전,2026-06,11950.0,1.0
옥션,MSM,2026-06,35910.0,9.0
옥션,MSM,2026-06,47800.0,4.0
옥션,올리브오일,2026-06,19950.0,5.0
옥션,올리브오일,2026-06,83650.0,7.0
옥션,올리브오일,2026-06,95560.0,4.0
옥션,멀티비타민,2026-06,51870.0,13.0
옥션,멀티비타민,2026-06,35850.0,3.0
옥션,멀티비타민,2026-06,19900.0,1.0
옥션,칼마디아K,2026-06,15960.0,4.0
옥션,칼마디아K,2026-06,23900.0,2.0
옥션,칼마디아K,2026-06,19900.0,1.0
옥션,코엔자임Q10,2026-06,95760.0,24.0
옥션,코엔자임Q10,2026-06,47800.0,4.0
옥션,코엔자임Q10,2026-06,99500.0,5.0
옥션,코엔자임Q10,2026-06,23890.0,1.0
옥션,마그네슘,2026-06,47880.0,12.0
옥션,마그네슘,2026-06,23900.0,2.0
