채널,상품명,상품,주차,매출,수량
네이버,"클라리온 rTG 알티지 오메가3 비타민A 비타민D 30캡슐, 6개",오메가3,1주차,757440.0,37.0
네이버,"클라리온 rTG 알티지 오메가3 비타민A 비타민D 30캡슐, 6개",오메가3,2주차,676810.0,31.0
네이버,"클라리온 rTG 알티지 오메가3 비타민A 비타민D 30캡슐, 6개",오메가3,3주차,487690.0,23.0
네이버,"클라리온 루테인 30캡슐, 1개",루테인,1주차,27760.0,7.0
네이버,"클라리온 루테인 30캡슐, 1개",루테인,2주차,51870.0,13.0
네이버,"클라리온 루테인 30캡슐, 1개",루테인,3주차,7980.0,2.0
네이버,"클라리온 루테인 30캡슐, 3개",루테인,1주차,35850.0,3.0
네이버,"클라리온 루테인 30캡슐, 3개",루테인,2주차,11950.0,1.0
네이버,"클라리온 루테인 30캡슐, 3개",루테인,3주차,59750.0,5.0
네이버,"클라리온 루테인 30캡슐, 5개",루테인,1주차,18230.0,1.0
네이버,"클라리온 루테인 30캡슐, 5개",루테인,3주차,19900.0,1.0
네이버,"클라리온 루테인 30캡슐, 6개",루테인,1주차,42240.0,2.0
네이버,"클라리온 루테인 30캡슐, 6개",루테인,2주차,94560.0,4.0
네이버,"클라리온 루테인 30캡슐, 6개",루테인,3주차,46780.0,2.0
네이버,"클라리온 멀티비타민 30정, 1개",멀티비타민,1주차,47880.0,12.0
네이버,"클라리온 멀티비타민 30정, 1개",멀티비타민,2주차,67830.0,17.0
네이버,"클라리온 멀티비타민 30정, 3개",멀티비타민,1주차,11700.0,1.0
네이버,"클라리온 멀티비타민 30정, 3개",멀티비타민,2주차,11950.0,1.0
네이버,"클라리온 멀티비타민 30정, 3개",멀티비타민,3주차,35850.0,3.0
네이버,"클라리온 멀티비타민 30정, 5개",멀티비타민,2주차,19900.0,1.0
네이버,"클라리온 멀티비타민 30정, 5개",멀티비타민,3주차,19900.0,1.0
네이버,"클라리온 멀티비타민 30정, 6개",멀티비타민,1주차,84480.0,4.0
네이버,"클라리온 멀티비타민 30정, 6개",멀티비타민,2주차,46780.0,2.0
네이버,"클라리온 멀티비타민 30정, 6개",멀티비타민,3주차,92560.0,7.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 1개",밀크씨슬,1주차,15960.0,4.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 1개",밀크씨슬,2주차,15960.0,4.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 1개",밀크씨슬,3주차,31920.0,8.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 3개",밀크씨슬,1주차,23560.0,2.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 3개",밀크씨슬,2주차,23900.0,2.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 5개",밀크씨슬,2주차,19900.0,1.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 5개",밀크씨슬,3주차,19900.0,1.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 6개",밀크씨슬,1주차,148340.0,7.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 6개",밀크씨슬,2주차,93560.0,4.0
네이버,"클라리온 밀크씨슬 비타민B 30정, 6개",밀크씨슬,3주차,71670.0,3.0
네이버,클라리온 부모님 효도템 3종 건강 세트 (오메가3+루테인+MSM) 종합 영양제 선물 혈행 눈 뼈,세트/기획전,3주차,11950.0,1.0
네이버,"클라리온 비타민C 30정, 1개",비타민C,1주차,7980.0,2.0
네이버,"클라리온 비타민C 30정, 1개",비타민C,2주차,15960.0,4.0
네이버,"클라리온 비타민C 30정, 3개",비타민C,1주차,11950.0,1.0
네이버,"클라리온 비타민C 30정, 3개",비타민C,2주차,11950.0,1.0
네이버,"클라리온 비타민C 30정, 3개",비타민C,3주차,11950.0,2.0
네이버,"클라리온 비타민C 30정, 5개",비타민C,2주차,19900.0,1.0
네이버,"클라리온 비타민C 30정, 6개",비타민C,1주차,43240.0,5.0
네이버,"클라리온 비타민C 30정, 6개",비타민C,2주차,45780.0,2.0
네이버,"클라리온 비타민C 30정, 6개",비타민C,3주차,47780.0,2.0
네이버,클라리온 야근러 집중템 3종 세트 (멀티비타민 + 알티지오메가3 + 루테인) 종합 영양제 선물 에너지 눈건강,세트/기획전,1주차,11950.0,1.0
네이버,클라리온 야식러 안심템 3종 세트 (혈당컷 다이어트 + 밀크씨슬 + 오메가3),세트/기획전,1주차,11950.0,1.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 1개",올리브오일,1주차,202290.0,51.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 1개",올리브오일,2주차,118700.0,31.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 1개",올리브오일,3주차,35910.0,9.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 3개",올리브오일,1주차,83650.0,8.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 3개",올리브오일,2주차,83650.0,7.0
